id,sentence,advice
1,이번 주는 새로운 만남이 기다리고 있습니다. 첫인상에 신경 써보세요.,이번 주 행운의 요일은 일요일입니다. 키워드는 '인내'과 '소통'를 기억하세요.
2,이번 주는 리더십을 발휘할 기회가 찾아올 수 있습니다. 자신감 있게 앞장서 보세요.,이번 주 행운의 요일은 수요일입니다. 키워드는 '인내'과 '도전'를 기억하세요.
3,이번 주는 직장이나 사업에서 좋은 평가를 받을 수 있는 흐름입니다. 최선을 다해보세요.,이번 주 행운의 요일은 화요일입니다. 키워드는 '기회'과 '기회'를 기억하세요.
4,이번 주는 새로운 시작을 알리는 에너지가 강합니다. 월요일부터 적극적으로 움직이면 좋은 결과가 따라옵니다.,이번 주 행운의 요일은 목요일입니다. 키워드는 '감사'과 '감사'를 기억하세요.
5,이번 주는 리더십을 발휘할 기회가 찾아올 수 있습니다. 자신감 있게 앞장서 보세요.,이번 주 행운의 요일은 화요일입니다. 키워드는 '감사'과 '기회'를 기억하세요.
6,이번 주는 가족과의 시간이 큰 위안이 될 것입니다. 소중한 사람들과 함께하세요.,이번 주 행운의 요일은 토요일입니다. 키워드는 '기회'과 '기회'를 기억하세요.
7,이번 주는 직장이나 사업에서 좋은 평가를 받을 수 있는 흐름입니다. 최선을 다해보세요.,이번 주 행운의 요일은 금요일입니다. 키워드는 '소통'과 '변화'를 기억하세요.
8,이번 주는 감정적으로 안정된 흐름입니다. 오래된 갈등이 자연스럽게 해소될 수 있습니다.,이번 주 행운의 요일은 일요일입니다. 키워드는 '기회'과 '인내'를 기억하세요.
9,이번 주는 새로운 시작을 알리는 에너지가 강합니다. 월요일부터 적극적으로 움직이면 좋은 결과가 따라옵니다.,이번 주 행운의 요일은 화요일입니다. 키워드는 '도전'과 '집중'를 기억하세요.
10,이번 주는 새로운 만남이 기다리고 있습니다. 첫인상에 신경 써보세요.,이번 주 행운의 요일은 월요일입니다. 키워드는 '집중'과 '집중'를 기억하세요.
11,이번 주는 직장이나 사업에서 좋은 평가를 받을 수 있는 흐름입니다. 최선을 다해보세요.,이번 주 행운의 요일은 목요일입니다. 키워드는 '도전'과 '집중'를 기억하세요.
