id,sentence
1,생각보다 당신의 가능성은 훨씬 더 넓습니다.
2,오늘 하루는 스스로를 믿어보는 연습을 해보세요.
3,당신이 해온 노력은 분명 어딘가에서 쌓이고 있습니다.
4,누군가에게 건넨 따뜻한 말이 결국 당신에게도 돌아옵니다.
5,오늘 만나는 작은 행운이 하루의 분위기를 바꿀 수 있습니다.
6,오늘은 스스로에게 조금 더 친절해져도 괜찮은 하루입니다.
7,오늘 하루는 스스로를 믿어보는 연습을 해보세요.
8,잠시 쉬어가는 시간도 다음 도약을 위한 준비가 됩니다.
9,누군가에게 건넨 따뜻한 말이 결국 당신에게도 돌아옵니다.
10,지금의 작은 노력도 결국 의미 있는 결과로 이어질 수 있습니다.
11,당신이 해온 노력은 분명 어딘가에서 쌓이고 있습니다.
12,지금의 고민도 시간이 지나면 하나의 경험이 됩니다.
13,생각보다 당신의 가능성은 훨씬 더 넓습니다.
14,생각보다 당신의 가능성은 훨씬 더 넓습니다.
15,천천히 가더라도 방향이 맞다면 충분히 잘 가고 있는 것입니다.
16,누군가에게 건넨 따뜻한 말이 결국 당신에게도 돌아옵니다.
17,천천히 가더라도 방향이 맞다면 충분히 잘 가고 있는 것입니다.
18,천천히 가더라도 방향이 맞다면 충분히 잘 가고 있는 것입니다.
19,천천히 가더라도 방향이 맞다면 충분히 잘 가고 있는 것입니다.
20,누군가에게 건넨 따뜻한 말이 결국 당신에게도 돌아옵니다.
21,생각보다 당신의 가능성은 훨씬 더 넓습니다.
22,오늘 만나는 작은 행운이 하루의 분위기를 바꿀 수 있습니다.
23,오늘 하루는 스스로를 믿어보는 연습을 해보세요.
24,오늘 만나는 작은 행운이 하루의 분위기를 바꿀 수 있습니다.
25,오늘 하루는 스스로를 믿어보는 연습을 해보세요.
26,오늘 하루는 스스로를 믿어보는 연습을 해보세요.
27,오늘 하루는 스스로를 믿어보는 연습을 해보세요.
28,잠시 쉬어가는 시간도 다음 도약을 위한 준비가 됩니다.
29,지금의 고민도 시간이 지나면 하나의 경험이 됩니다.
30,생각보다 당신의 가능성은 훨씬 더 넓습니다.
31,지금의 고민도 시간이 지나면 하나의 경험이 됩니다.
32,생각보다 당신의 가능성은 훨씬 더 넓습니다.
33,오늘은 스스로에게 조금 더 친절해져도 괜찮은 하루입니다.
34,오늘 만나는 작은 행운이 하루의 분위기를 바꿀 수 있습니다.
35,당신이 해온 노력은 분명 어딘가에서 쌓이고 있습니다.
36,누군가에게 건넨 따뜻한 말이 결국 당신에게도 돌아옵니다.
37,지금의 고민도 시간이 지나면 하나의 경험이 됩니다.
38,오늘 하루는 스스로를 믿어보는 연습을 해보세요.
39,당신이 해온 노력은 분명 어딘가에서 쌓이고 있습니다.
40,지금의 작은 노력도 결국 의미 있는 결과로 이어질 수 있습니다.
41,오늘 만나는 작은 행운이 하루의 분위기를 바꿀 수 있습니다.
42,생각보다 당신의 가능성은 훨씬 더 넓습니다.
43,잠시 쉬어가는 시간도 다음 도약을 위한 준비가 됩니다.
44,천천히 가더라도 방향이 맞다면 충분히 잘 가고 있는 것입니다.
45,잠시 쉬어가는 시간도 다음 도약을 위한 준비가 됩니다.
46,당신이 해온 노력은 분명 어딘가에서 쌓이고 있습니다.
47,오늘 하루는 스스로를 믿어보는 연습을 해보세요.
48,오늘 만나는 작은 행운이 하루의 분위기를 바꿀 수 있습니다.
49,오늘은 스스로에게 조금 더 친절해져도 괜찮은 하루입니다.
50,생각보다 당신의 가능성은 훨씬 더 넓습니다.
51,오늘 만나는 작은 행운이 하루의 분위기를 바꿀 수 있습니다.
52,잠시 쉬어가는 시간도 다음 도약을 위한 준비가 됩니다.
53,오늘 하루는 스스로를 믿어보는 연습을 해보세요.
54,지금의 작은 노력도 결국 의미 있는 결과로 이어질 수 있습니다.
55,천천히 가더라도 방향이 맞다면 충분히 잘 가고 있는 것입니다.
56,오늘 만나는 작은 행운이 하루의 분위기를 바꿀 수 있습니다.
57,오늘은 스스로에게 조금 더 친절해져도 괜찮은 하루입니다.
58,오늘 하루는 스스로를 믿어보는 연습을 해보세요.
59,지금의 작은 노력도 결국 의미 있는 결과로 이어질 수 있습니다.
60,생각보다 당신의 가능성은 훨씬 더 넓습니다.
61,지금의 고민도 시간이 지나면 하나의 경험이 됩니다.
62,생각보다 당신의 가능성은 훨씬 더 넓습니다.
63,생각보다 당신의 가능성은 훨씬 더 넓습니다.
64,생각보다 당신의 가능성은 훨씬 더 넓습니다.
65,천천히 가더라도 방향이 맞다면 충분히 잘 가고 있는 것입니다.
66,오늘 하루는 스스로를 믿어보는 연습을 해보세요.
67,누군가에게 건넨 따뜻한 말이 결국 당신에게도 돌아옵니다.
68,오늘은 스스로에게 조금 더 친절해져도 괜찮은 하루입니다.
69,천천히 가더라도 방향이 맞다면 충분히 잘 가고 있는 것입니다.
70,오늘은 스스로에게 조금 더 친절해져도 괜찮은 하루입니다.
71,지금의 고민도 시간이 지나면 하나의 경험이 됩니다.
72,생각보다 당신의 가능성은 훨씬 더 넓습니다.
73,오늘은 스스로에게 조금 더 친절해져도 괜찮은 하루입니다.
74,오늘 만나는 작은 행운이 하루의 분위기를 바꿀 수 있습니다.
75,오늘 만나는 작은 행운이 하루의 분위기를 바꿀 수 있습니다.
76,생각보다 당신의 가능성은 훨씬 더 넓습니다.
77,천천히 가더라도 방향이 맞다면 충분히 잘 가고 있는 것입니다.
78,잠시 쉬어가는 시간도 다음 도약을 위한 준비가 됩니다.
79,오늘 하루는 스스로를 믿어보는 연습을 해보세요.
80,지금의 작은 노력도 결국 의미 있는 결과로 이어질 수 있습니다.
81,누군가에게 건넨 따뜻한 말이 결국 당신에게도 돌아옵니다.
82,잠시 쉬어가는 시간도 다음 도약을 위한 준비가 됩니다.
83,지금의 작은 노력도 결국 의미 있는 결과로 이어질 수 있습니다.
84,천천히 가더라도 방향이 맞다면 충분히 잘 가고 있는 것입니다.
