id,sentence,advice
1,이번 달은 가족과의 관계가 더욱 돈독해지는 흐름입니다. 소통을 늘려보세요.,이번 달 행운의 색은 흰색입니다. 상반기와 하반기 균형 있는 계획을 세워보세요.
2,이번 달은 창의력이 극대화되는 시기입니다. 예술적 활동이나 새로운 취미를 시작해보세요.,이번 달 행운의 색은 흰색입니다. 상반기와 하반기 균형 있는 계획을 세워보세요.
3,이번 달은 오래된 문제들이 자연스럽게 해결되는 흐름입니다. 조급해하지 마세요.,이번 달 행운의 색은 금색입니다. 상반기와 하반기 균형 있는 계획을 세워보세요.
4,이번 달은 리더십을 발휘할 기회가 많습니다. 적극적으로 앞장서 보세요.,이번 달 행운의 색은 파란색입니다. 상반기와 하반기 균형 있는 계획을 세워보세요.
5,이번 달은 가족과의 관계가 더욱 돈독해지는 흐름입니다. 소통을 늘려보세요.,이번 달 행운의 색은 빨간색입니다. 상반기와 하반기 균형 있는 계획을 세워보세요.
6,이번 달은 감정적으로 성숙해지는 시기입니다. 내면의 목소리에 귀 기울여보세요.,이번 달 행운의 색은 빨간색입니다. 상반기와 하반기 균형 있는 계획을 세워보세요.
7,이번 달은 사회적 활동이 활발해지는 시기입니다. 네트워킹 기회를 놓치지 마세요.,이번 달 행운의 색은 파란색입니다. 상반기와 하반기 균형 있는 계획을 세워보세요.
8,이번 달은 가족과의 관계가 더욱 돈독해지는 흐름입니다. 소통을 늘려보세요.,이번 달 행운의 색은 노란색입니다. 상반기와 하반기 균형 있는 계획을 세워보세요.
9,이번 달은 건강에 특별히 신경 써야 합니다. 규칙적인 생활습관이 중요합니다.,이번 달 행운의 색은 보라색입니다. 상반기와 하반기 균형 있는 계획을 세워보세요.
10,이번 달은 학습과 자기계발에 투자하면 큰 결실을 맺을 수 있는 시기입니다.,이번 달 행운의 색은 초록색입니다. 상반기와 하반기 균형 있는 계획을 세워보세요.
11,이번 달은 인간관계가 풍성해지는 달입니다. 새로운 인연이 큰 도움이 될 수 있습니다.,이번 달 행운의 색은 보라색입니다. 상반기와 하반기 균형 있는 계획을 세워보세요.
12,이번 달은 리더십을 발휘할 기회가 많습니다. 적극적으로 앞장서 보세요.,이번 달 행운의 색은 보라색입니다. 상반기와 하반기 균형 있는 계획을 세워보세요.
13,이번 달은 재물운이 상승하는 흐름입니다. 중순 이후 예상치 못한 수입이 생길 수 있습니다.,이번 달 행운의 색은 노란색입니다. 상반기와 하반기 균형 있는 계획을 세워보세요.
14,이번 달은 리더십을 발휘할 기회가 많습니다. 적극적으로 앞장서 보세요.,이번 달 행운의 색은 빨간색입니다. 상반기와 하반기 균형 있는 계획을 세워보세요.
15,이번 달은 재물운이 상승하는 흐름입니다. 중순 이후 예상치 못한 수입이 생길 수 있습니다.,이번 달 행운의 색은 파란색입니다. 상반기와 하반기 균형 있는 계획을 세워보세요.
16,이번 달은 직장이나 사업에서 중요한 변화가 찾아올 수 있습니다. 유연하게 대처하세요.,이번 달 행운의 색은 은색입니다. 상반기와 하반기 균형 있는 계획을 세워보세요.
17,이번 달은 건강에 특별히 신경 써야 합니다. 규칙적인 생활습관이 중요합니다.,이번 달 행운의 색은 노란색입니다. 상반기와 하반기 균형 있는 계획을 세워보세요.
18,이번 달은 학습과 자기계발에 투자하면 큰 결실을 맺을 수 있는 시기입니다.,이번 달 행운의 색은 흰색입니다. 상반기와 하반기 균형 있는 계획을 세워보세요.
