id,animal_zodiac,kr,fortune
1,rat,쥐띠,쥐띠 이번 달은 창의적인 에너지가 넘치는 시기입니다. 예술적 감각을 발휘해보세요.
2,rat,쥐띠,쥐띠에게 이번 달은 인간관계가 풍성해지는 달입니다. 새로운 인연을 소중히 여기세요.
3,rat,쥐띠,쥐띠에게 이번 달은 새로운 시작을 알리는 달입니다. 오랜 꿈을 향해 첫 걸음을 내딛어보세요.
4,rat,쥐띠,쥐띠 이번 달은 창의적인 에너지가 넘치는 시기입니다. 예술적 감각을 발휘해보세요.
5,rat,쥐띠,쥐띠 이번 달은 재물운이 서서히 상승합니다. 중순 이후 좋은 기회가 찾아올 수 있습니다.
6,rat,쥐띠,쥐띠에게 이번 달은 인간관계가 풍성해지는 달입니다. 새로운 인연을 소중히 여기세요.
7,rat,쥐띠,쥐띠 이번 달은 직장이나 사업에서 중요한 전환점이 될 수 있습니다. 준비를 철저히 하세요.
8,rat,쥐띠,쥐띠에게 이번 달은 건강과 체력 관리가 중요합니다. 꾸준한 운동 습관을 만들어보세요.
9,rat,쥐띠,쥐띠에게 이번 달은 인간관계가 풍성해지는 달입니다. 새로운 인연을 소중히 여기세요.
10,rat,쥐띠,쥐띠에게 이번 달은 건강과 체력 관리가 중요합니다. 꾸준한 운동 습관을 만들어보세요.
11,rat,쥐띠,쥐띠 이번 달은 직장이나 사업에서 중요한 전환점이 될 수 있습니다. 준비를 철저히 하세요.
12,rat,쥐띠,쥐띠 이번 달은 감사하는 마음이 더 큰 행운을 불러옵니다. 주변을 돌아보세요.
13,rat,쥐띠,쥐띠 이번 달은 재물운이 서서히 상승합니다. 중순 이후 좋은 기회가 찾아올 수 있습니다.
14,rat,쥐띠,쥐띠 이번 달은 창의적인 에너지가 넘치는 시기입니다. 예술적 감각을 발휘해보세요.
15,rat,쥐띠,쥐띠에게 이번 달은 여행이나 새로운 경험이 큰 영감을 줄 것입니다. 도전을 즐기세요.
16,rat,쥐띠,쥐띠에게 이번 달은 여행이나 새로운 경험이 큰 영감을 줄 것입니다. 도전을 즐기세요.
17,rat,쥐띠,쥐띠에게 이번 달은 새로운 시작을 알리는 달입니다. 오랜 꿈을 향해 첫 걸음을 내딛어보세요.
18,rat,쥐띠,쥐띠 이번 달은 창의적인 에너지가 넘치는 시기입니다. 예술적 감각을 발휘해보세요.
19,rat,쥐띠,쥐띠 이번 달은 창의적인 에너지가 넘치는 시기입니다. 예술적 감각을 발휘해보세요.
20,rat,쥐띠,쥐띠 이번 달은 직장이나 사업에서 중요한 전환점이 될 수 있습니다. 준비를 철저히 하세요.
21,rat,쥐띠,쥐띠 이번 달은 창의적인 에너지가 넘치는 시기입니다. 예술적 감각을 발휘해보세요.
