id,animal_zodiac,kr,fortune
1,rat,쥐띠,쥐띠에게 이번 주는 재물운이 상승하는 흐름입니다. 계획적인 소비와 저축을 추천합니다.
2,rat,쥐띠,쥐띠 이번 주는 감정적으로 안정된 흐름입니다. 오랫동안 묵혀둔 이야기를 꺼내보세요.
3,rat,쥐띠,쥐띠에게 이번 주는 예상치 못한 좋은 소식이 들려올 수 있습니다. 기대감을 가져보세요.
4,rat,쥐띠,쥐띠에게 이번 주는 예상치 못한 좋은 소식이 들려올 수 있습니다. 기대감을 가져보세요.
5,rat,쥐띠,쥐띠에게 이번 주는 예상치 못한 좋은 소식이 들려올 수 있습니다. 기대감을 가져보세요.
6,rat,쥐띠,쥐띠에게 이번 주는 재물운이 상승하는 흐름입니다. 계획적인 소비와 저축을 추천합니다.
7,rat,쥐띠,쥐띠에게 이번 주는 재물운이 상승하는 흐름입니다. 계획적인 소비와 저축을 추천합니다.
8,rat,쥐띠,쥐띠에게 이번 주는 적극적인 행동이 좋은 결과를 만드는 시기입니다. 망설이지 말고 도전해보세요.
9,rat,쥐띠,쥐띠 이번 주는 감정적으로 안정된 흐름입니다. 오랫동안 묵혀둔 이야기를 꺼내보세요.
10,rat,쥐띠,쥐띠 이번 주는 학습이나 자기계발에 투자하기 좋은 에너지입니다. 배움을 즐겨보세요.
11,rat,쥐띠,쥐띠 이번 주는 학습이나 자기계발에 투자하기 좋은 에너지입니다. 배움을 즐겨보세요.
12,rat,쥐띠,쥐띠 이번 주는 학습이나 자기계발에 투자하기 좋은 에너지입니다. 배움을 즐겨보세요.
13,rat,쥐띠,쥐띠에게 이번 주는 적극적인 행동이 좋은 결과를 만드는 시기입니다. 망설이지 말고 도전해보세요.
14,rat,쥐띠,쥐띠에게 이번 주는 예상치 못한 좋은 소식이 들려올 수 있습니다. 기대감을 가져보세요.
15,rat,쥐띠,쥐띠 이번 주는 감정적으로 안정된 흐름입니다. 오랫동안 묵혀둔 이야기를 꺼내보세요.
16,rat,쥐띠,쥐띠에게 이번 주는 예상치 못한 좋은 소식이 들려올 수 있습니다. 기대감을 가져보세요.
17,rat,쥐띠,쥐띠에게 이번 주는 새로운 아이디어가 떠오르기 쉬운 시기입니다. 창의적인 도전을 해보세요.
18,rat,쥐띠,쥐띠 이번 주는 학습이나 자기계발에 투자하기 좋은 에너지입니다. 배움을 즐겨보세요.
19,rat,쥐띠,쥐띠에게 이번 주는 예상치 못한 좋은 소식이 들려올 수 있습니다. 기대감을 가져보세요.
20,rat,쥐띠,쥐띠 이번 주는 학습이나 자기계발에 투자하기 좋은 에너지입니다. 배움을 즐겨보세요.
21,rat,쥐띠,쥐띠에게 이번 주는 재물운이 상승하는 흐름입니다. 계획적인 소비와 저축을 추천합니다.
22,rat,쥐띠,쥐띠에게 이번 주는 재물운이 상승하는 흐름입니다. 계획적인 소비와 저축을 추천합니다.
