id,zodiac,item
1,양자리,작은 거울
1,황소자리,흰 조약돌
1,쌍둥이자리,파란 볼펜
1,게자리,조개껍데기
1,사자자리,흰 조약돌
1,처녀자리,노란 메모지
1,천칭자리,은반지
1,전갈자리,천연 비누
1,사수자리,호안석
1,염소자리,초록 우산
1,물병자리,빨간 실
1,물고기자리,빨간 실
2,양자리,작은 거울
2,황소자리,실크 스카프
2,쌍둥이자리,초록 식물
2,게자리,빨간 실
2,사자자리,초록 우산
2,처녀자리,빨간 실
2,천칭자리,민트사탕
2,전갈자리,실크 스카프
2,사수자리,수정 팔찌
2,염소자리,작은 지도
2,물병자리,파란 볼펜
2,물고기자리,달 모양 귀걸이
3,양자리,천연 비누
3,황소자리,네잎클로버
3,쌍둥이자리,수정 팔찌
3,게자리,유리구슬
3,사자자리,별 모양 스티커
3,처녀자리,노란 메모지
3,천칭자리,은반지
3,전갈자리,파란 볼펜
3,사수자리,나무 빗
3,염소자리,초록 식물
3,물병자리,흰색 손수건
3,물고기자리,나침반
4,양자리,작은 지도
4,황소자리,줄무늬 양말
4,쌍둥이자리,청금석
4,게자리,라벤더 향주머니
4,사자자리,청금석
4,처녀자리,은반지
4,천칭자리,작은 거북이 인형
4,전갈자리,빨간 실
4,사수자리,흑요석
4,염소자리,청금석
4,물병자리,책갈피
4,물고기자리,달 모양 귀걸이
5,양자리,흑요석
5,황소자리,줄무늬 양말
5,쌍둥이자리,유리구슬
5,게자리,수정 팔찌
5,사자자리,대나무 칫솔
5,처녀자리,로즈쿼츠
5,천칭자리,작은 지도
5,전갈자리,호안석
5,사수자리,달 모양 귀걸이
5,염소자리,자수정
5,물병자리,흑요석
5,물고기자리,조개껍데기
6,양자리,은색 동전
6,황소자리,로즈쿼츠
6,쌍둥이자리,은반지
6,게자리,가죽 지갑
6,사자자리,파란 볼펜
6,처녀자리,자수정
6,천칭자리,라벤더 향주머니
6,전갈자리,실크 스카프
6,사수자리,빨간 실
6,염소자리,빨간 실
6,물병자리,초록 우산
6,물고기자리,대나무 칫솔
7,양자리,네잎클로버
7,황소자리,나무 연필
7,쌍둥이자리,천연 비누
7,게자리,줄무늬 양말
7,사자자리,빨간 실
7,처녀자리,흰색 손수건
7,천칭자리,금색 열쇠고리
7,전갈자리,나비 모양 핀
7,사수자리,파란 볼펜
7,염소자리,은색 동전
7,물병자리,수정 팔찌
7,물고기자리,파란 돌
