id,zodiac,fortune
1,양자리,"이번 주 양자리에게는 새로운 흐름이 시작됩니다. 지난 주의 피로를 털어내고 가볍게 발걸음을 내딛어보세요. 주변의 작은 변화들이 큰 기회로 이어질 수 있는 시기입니다.

월요일 — 이번 주의 첫 걸음이 중요합니다. 무리하지 말고 우선순위를 정해 차분하게 시작해보세요.
화요일 — 주변 사람들과의 관계에서 따뜻한 기운이 감돕니다. 먼저 다가가는 것이 좋은 결과를 만듭니다.
수요일 — 수요일의 균형 잡힌 에너지가 판단력을 높여줍니다. 오래 고민하던 결정을 내리기 좋습니다.
목요일 — 오늘은 재물운이 조금씩 상승하는 흐름입니다. 현명한 소비와 절약이 내일의 여유를 만듭니다.
금요일 — 금요일의 설레는 에너지가 긍정적인 기운을 불어넣습니다. 가까운 사람과 따뜻한 시간을 나눠보세요.
토요일 — 기다리던 주말입니다. 평소 하지 못했던 취미나 휴식으로 몸과 마음을 재충전해보세요.
일요일 — 이번 주 당신은 최선을 다했습니다. 스스로를 위한 작은 보상을 허락하고 내일을 위한 에너지를 모아보세요."
2,양자리,"이번 주 양자리에게는 인내와 성장의 시간이 주어집니다. 결과가 눈에 보이지 않더라도 포기하지 마세요. 당신의 노력은 반드시 아름다운 결실이 됩니다.

월요일 — 이번 주의 첫 걸음이 중요합니다. 무리하지 말고 우선순위를 정해 차분하게 시작해보세요.
화요일 — 주변 사람들과의 관계에서 따뜻한 기운이 감돕니다. 먼저 다가가는 것이 좋은 결과를 만듭니다.
수요일 — 한 주의 중간 지점입니다. 지금까지의 진행 상황을 점검하고 필요한 부분을 조정해보세요.
목요일 — 주변에서 의미 있는 정보나 조언이 들려올 수 있습니다. 귀를 열고 경청해보세요.
금요일 — 한 주의 마무리가 가까워지고 있습니다. 오늘 하루를 활기차게 마무리하면 주말이 더욱 풍요로워집니다.
토요일 — 기다리던 주말입니다. 평소 하지 못했던 취미나 휴식으로 몸과 마음을 재충전해보세요.
일요일 — 오늘은 몸과 마음을 쉬게 해주는 날입니다. 충분한 휴식이 내일의 새로운 시작을 위한 가장 좋은 준비입니다."
3,양자리,"이번 주 양자리에게 소중한 인연이 찾아올 수 있습니다. 먼저 손 내밀고 마음을 열어보세요. 진심 어린 관계 속에서 큰 위로와 힘을 얻게 될 것입니다.

월요일 — 새로운 한 주의 시작입니다. 오늘의 작은 실천이 일주일 전체의 방향을 만들어갑니다. 가볍게 시작해도 충분합니다.
화요일 — 주변 사람들과의 관계에서 따뜻한 기운이 감돕니다. 먼저 다가가는 것이 좋은 결과를 만듭니다.
수요일 — 오늘은 집중력이 높아지는 날입니다. 중요한 업무나 학습에 몰두하기 좋은 시간입니다.
목요일 — 오늘은 재물운이 조금씩 상승하는 흐름입니다. 현명한 소비와 절약이 내일의 여유를 만듭니다.
금요일 — 한 주의 마무리가 가까워지고 있습니다. 오늘 하루를 활기차게 마무리하면 주말이 더욱 풍요로워집니다.
토요일 — 가족이나 오랜 친구와 함께하는 시간이 큰 행복이 됩니다. 소중한 인연을 더욱 빛나게 해주세요.
일요일 — 오늘은 몸과 마음을 쉬게 해주는 날입니다. 충분한 휴식이 내일의 새로운 시작을 위한 가장 좋은 준비입니다."
4,양자리,"이번 주 양자리에게는 새로운 흐름이 시작됩니다. 지난 주의 피로를 털어내고 가볍게 발걸음을 내딛어보세요. 주변의 작은 변화들이 큰 기회로 이어질 수 있는 시기입니다.

월요일 — 월요일의 에너지가 당신을 응원합니다. 어제의 피로는 내려두고 새로운 마음으로 출발해보세요.
화요일 — 오늘은 소통과 협력에 좋은 에너지가 흐릅니다. 중요한 대화나 회의가 있다면 오늘이 적기입니다.
수요일 — 한 주의 중간 지점입니다. 지금까지의 진행 상황을 점검하고 필요한 부분을 조정해보세요.
목요일 — 주변에서 의미 있는 정보나 조언이 들려올 수 있습니다. 귀를 열고 경청해보세요.
금요일 — 오늘은 감사함을 표현하기 좋은 날입니다. 주변의 소중한 존재들에게 마음을 전해보세요.
토요일 — 기다리던 주말입니다. 평소 하지 못했던 취미나 휴식으로 몸과 마음을 재충전해보세요.
일요일 — 한 주를 차분히 돌아보는 시간을 가져보세요. 잘한 일은 스스로 칭찬하고, 아쉬운 점은 다음 주에 개선할 준비를 해보세요."
5,양자리,"이번 주 양자리에게는 인내와 성장의 시간이 주어집니다. 결과가 눈에 보이지 않더라도 포기하지 마세요. 당신의 노력은 반드시 아름다운 결실이 됩니다.

월요일 — 새로운 한 주의 시작입니다. 오늘의 작은 실천이 일주일 전체의 방향을 만들어갑니다. 가볍게 시작해도 충분합니다.
화요일 — 오늘은 소통과 협력에 좋은 에너지가 흐릅니다. 중요한 대화나 회의가 있다면 오늘이 적기입니다.
수요일 — 수요일의 균형 잡힌 에너지가 판단력을 높여줍니다. 오래 고민하던 결정을 내리기 좋습니다.
목요일 — 주변에서 의미 있는 정보나 조언이 들려올 수 있습니다. 귀를 열고 경청해보세요.
금요일 — 금요일의 설레는 에너지가 긍정적인 기운을 불어넣습니다. 가까운 사람과 따뜻한 시간을 나눠보세요.
토요일 — 가족이나 오랜 친구와 함께하는 시간이 큰 행복이 됩니다. 소중한 인연을 더욱 빛나게 해주세요.
일요일 — 이번 주 당신은 최선을 다했습니다. 스스로를 위한 작은 보상을 허락하고 내일을 위한 에너지를 모아보세요."
6,양자리,"이번 주 양자리에게는 인내와 성장의 시간이 주어집니다. 결과가 눈에 보이지 않더라도 포기하지 마세요. 당신의 노력은 반드시 아름다운 결실이 됩니다.

월요일 — 새로운 한 주의 시작입니다. 오늘의 작은 실천이 일주일 전체의 방향을 만들어갑니다. 가볍게 시작해도 충분합니다.
화요일 — 주변 사람들과의 관계에서 따뜻한 기운이 감돕니다. 먼저 다가가는 것이 좋은 결과를 만듭니다.
수요일 — 수요일의 균형 잡힌 에너지가 판단력을 높여줍니다. 오래 고민하던 결정을 내리기 좋습니다.
목요일 — 오늘은 재물운이 조금씩 상승하는 흐름입니다. 현명한 소비와 절약이 내일의 여유를 만듭니다.
금요일 — 금요일의 설레는 에너지가 긍정적인 기운을 불어넣습니다. 가까운 사람과 따뜻한 시간을 나눠보세요.
토요일 — 기다리던 주말입니다. 평소 하지 못했던 취미나 휴식으로 몸과 마음을 재충전해보세요.
일요일 — 이번 주 당신은 최선을 다했습니다. 스스로를 위한 작은 보상을 허락하고 내일을 위한 에너지를 모아보세요."
7,양자리,"이번 주 양자리에게는 새로운 흐름이 시작됩니다. 지난 주의 피로를 털어내고 가볍게 발걸음을 내딛어보세요. 주변의 작은 변화들이 큰 기회로 이어질 수 있는 시기입니다.

월요일 — 새로운 한 주의 시작입니다. 오늘의 작은 실천이 일주일 전체의 방향을 만들어갑니다. 가볍게 시작해도 충분합니다.
화요일 — 오늘은 소통과 협력에 좋은 에너지가 흐릅니다. 중요한 대화나 회의가 있다면 오늘이 적기입니다.
수요일 — 수요일의 균형 잡힌 에너지가 판단력을 높여줍니다. 오래 고민하던 결정을 내리기 좋습니다.
목요일 — 주변에서 의미 있는 정보나 조언이 들려올 수 있습니다. 귀를 열고 경청해보세요.
금요일 — 한 주의 마무리가 가까워지고 있습니다. 오늘 하루를 활기차게 마무리하면 주말이 더욱 풍요로워집니다.
토요일 — 오늘은 창의적인 활동에 특히 좋은 에너지가 흐릅니다. 그림, 음악, 글쓰기 등 좋아하는 것에 집중해보세요.
일요일 — 오늘은 몸과 마음을 쉬게 해주는 날입니다. 충분한 휴식이 내일의 새로운 시작을 위한 가장 좋은 준비입니다."
8,양자리,"이번 주 양자리에게 소중한 인연이 찾아올 수 있습니다. 먼저 손 내밀고 마음을 열어보세요. 진심 어린 관계 속에서 큰 위로와 힘을 얻게 될 것입니다.

월요일 — 월요일의 에너지가 당신을 응원합니다. 어제의 피로는 내려두고 새로운 마음으로 출발해보세요.
화요일 — 오늘은 소통과 협력에 좋은 에너지가 흐릅니다. 중요한 대화나 회의가 있다면 오늘이 적기입니다.
수요일 — 한 주의 중간 지점입니다. 지금까지의 진행 상황을 점검하고 필요한 부분을 조정해보세요.
목요일 — 오늘은 재물운이 조금씩 상승하는 흐름입니다. 현명한 소비와 절약이 내일의 여유를 만듭니다.
금요일 — 한 주의 마무리가 가까워지고 있습니다. 오늘 하루를 활기차게 마무리하면 주말이 더욱 풍요로워집니다.
토요일 — 오늘은 창의적인 활동에 특히 좋은 에너지가 흐릅니다. 그림, 음악, 글쓰기 등 좋아하는 것에 집중해보세요.
일요일 — 이번 주 당신은 최선을 다했습니다. 스스로를 위한 작은 보상을 허락하고 내일을 위한 에너지를 모아보세요."
9,양자리,"이번 주 양자리에게 소중한 인연이 찾아올 수 있습니다. 먼저 손 내밀고 마음을 열어보세요. 진심 어린 관계 속에서 큰 위로와 힘을 얻게 될 것입니다.

월요일 — 새로운 한 주의 시작입니다. 오늘의 작은 실천이 일주일 전체의 방향을 만들어갑니다. 가볍게 시작해도 충분합니다.
화요일 — 오늘은 소통과 협력에 좋은 에너지가 흐릅니다. 중요한 대화나 회의가 있다면 오늘이 적기입니다.
수요일 — 한 주의 중간 지점입니다. 지금까지의 진행 상황을 점검하고 필요한 부분을 조정해보세요.
목요일 — 목요일의 활발한 기운이 실행력을 높여줍니다. 머릿속에만 있던 계획을 행동으로 옮겨보세요.
금요일 — 한 주의 마무리가 가까워지고 있습니다. 오늘 하루를 활기차게 마무리하면 주말이 더욱 풍요로워집니다.
토요일 — 기다리던 주말입니다. 평소 하지 못했던 취미나 휴식으로 몸과 마음을 재충전해보세요.
일요일 — 한 주를 차분히 돌아보는 시간을 가져보세요. 잘한 일은 스스로 칭찬하고, 아쉬운 점은 다음 주에 개선할 준비를 해보세요."
10,양자리,"이번 주 양자리에게 소중한 인연이 찾아올 수 있습니다. 먼저 손 내밀고 마음을 열어보세요. 진심 어린 관계 속에서 큰 위로와 힘을 얻게 될 것입니다.

월요일 — 이번 주의 첫 걸음이 중요합니다. 무리하지 말고 우선순위를 정해 차분하게 시작해보세요.
화요일 — 화요일의 기운이 창의력을 자극합니다. 새로운 아이디어가 떠오른다면 메모해두세요.
수요일 — 한 주의 중간 지점입니다. 지금까지의 진행 상황을 점검하고 필요한 부분을 조정해보세요.
목요일 — 목요일의 활발한 기운이 실행력을 높여줍니다. 머릿속에만 있던 계획을 행동으로 옮겨보세요.
금요일 — 금요일의 설레는 에너지가 긍정적인 기운을 불어넣습니다. 가까운 사람과 따뜻한 시간을 나눠보세요.
토요일 — 가족이나 오랜 친구와 함께하는 시간이 큰 행복이 됩니다. 소중한 인연을 더욱 빛나게 해주세요.
일요일 — 오늘은 몸과 마음을 쉬게 해주는 날입니다. 충분한 휴식이 내일의 새로운 시작을 위한 가장 좋은 준비입니다."
