id,zodiac,total,money,health,love
1,쥐띠,95,52,51,87
1,소띠,72,60,64,48
1,호랑이띠,61,88,97,97
1,토끼띠,89,50,87,67
1,용띠,57,46,55,53
1,뱀띠,69,77,88,41
1,말띠,90,57,95,81
1,양띠,89,71,64,68
1,원숭이띠,92,62,50,88
1,닭띠,65,89,77,61
1,개띠,72,54,63,88
1,돼지띠,76,51,55,64
1,양자리,61,67,72,78
1,황소자리,71,96,52,86
1,쌍둥이자리,84,79,57,99
1,게자리,79,50,85,58
1,사자자리,95,84,73,76
1,처녀자리,67,90,54,42
1,천칭자리,97,59,99,58
1,전갈자리,60,99,64,95
1,사수자리,61,69,67,69
1,염소자리,95,98,73,50
1,물병자리,78,67,63,82
1,물고기자리,72,89,93,81
2,쥐띠,59,83,90,50
2,소띠,89,91,65,50
2,호랑이띠,84,69,67,99
2,토끼띠,95,89,85,54
2,용띠,98,65,99,89
2,뱀띠,58,59,52,91
2,말띠,75,70,67,44
2,양띠,68,81,95,60
2,원숭이띠,68,86,81,65
2,닭띠,96,74,59,56
2,개띠,63,60,97,75
2,돼지띠,89,61,97,77
2,양자리,82,82,75,63
2,황소자리,69,53,82,71
2,쌍둥이자리,60,93,53,95
2,게자리,62,54,90,50
2,사자자리,98,72,88,44
2,처녀자리,79,69,88,69
2,천칭자리,88,61,85,95
2,전갈자리,55,88,96,47
2,사수자리,98,79,98,57
2,염소자리,96,66,57,58
2,물병자리,82,55,79,40
2,물고기자리,71,77,98,51
3,쥐띠,87,51,90,59
3,소띠,95,77,88,52
3,호랑이띠,64,68,98,50
3,토끼띠,89,94,83,98
3,용띠,55,83,70,71
3,뱀띠,56,52,73,96
3,말띠,74,60,53,55
3,양띠,91,50,55,86
3,원숭이띠,86,97,54,88
3,닭띠,89,94,58,48
3,개띠,97,75,85,50
3,돼지띠,71,78,88,67
3,양자리,68,79,98,86
3,황소자리,67,90,69,65
3,쌍둥이자리,97,86,73,68
3,게자리,88,73,57,55
3,사자자리,69,49,71,41
3,처녀자리,92,80,64,77
3,천칭자리,69,45,54,85
3,전갈자리,95,48,64,44
3,사수자리,57,66,54,72
3,염소자리,70,62,92,71
3,물병자리,68,79,58,86
3,물고기자리,91,81,80,55
4,쥐띠,85,96,76,52
4,소띠,61,51,92,67
4,호랑이띠,77,72,76,69
4,토끼띠,58,88,91,81
4,용띠,61,48,75,86
4,뱀띠,76,96,56,55
4,말띠,67,57,84,68
4,양띠,63,72,61,57
4,원숭이띠,84,60,54,68
