id,author,quote_en,quote_ko,source,meaning,category,tags,slug
1,,,"조용한 노력의 한 번의 선택이 변화를 만든다, 천천히 빛을 보기 시작한다.",original_fortune_text,,오늘의운세,오늘의명언;운세,fortune-1
2,,,"작은 용기의 한 번의 선택이 가능성을 키운다, 조금씩 앞으로 나아간다.",original_fortune_text,,성장,오늘의명언;운세,fortune-2
3,,,"지금의 꾸준한 행동이 길을 연다, 천천히 빛을 보기 시작한다.",original_fortune_text,,인생,오늘의명언;운세,fortune-3
4,,,"한 걸음의 한 번의 선택이 가능성을 키운다, 곧 좋은 흐름으로 이어진다.",original_fortune_text,,동기부여,오늘의명언;운세,fortune-4
5,,,"당신의 선택의 꾸준한 행동이 변화를 만든다, 천천히 빛을 보기 시작한다.",original_fortune_text,,성장,오늘의명언;운세,fortune-5
6,,,"오늘의 한 번의 선택이 기회를 부른다, 곧 좋은 흐름으로 이어진다.",original_fortune_text,,도전,오늘의명언;운세,fortune-6
7,,,"당신의 선택의 작은 변화이 성장을 만든다, 곧 좋은 흐름으로 이어진다.",original_fortune_text,,인생,오늘의명언;운세,fortune-7
8,,,"조용한 노력의 조용한 결심이 성장을 만든다, 곧 좋은 흐름으로 이어진다.",original_fortune_text,,인생,오늘의명언;운세,fortune-8
9,,,"오늘의 작은 변화이 성장을 만든다, 천천히 빛을 보기 시작한다.",original_fortune_text,,동기부여,오늘의명언;운세,fortune-9
10,,,"작은 용기의 조용한 결심이 변화를 만든다, 조금씩 앞으로 나아간다.",original_fortune_text,,인생,오늘의명언;운세,fortune-10
11,,,"조용한 노력의 작은 변화이 가능성을 키운다, 곧 좋은 흐름으로 이어진다.",original_fortune_text,,오늘의운세,오늘의명언;운세,fortune-11
12,,,"지금의 조용한 결심이 길을 연다, 조금씩 앞으로 나아간다.",original_fortune_text,,오늘의운세,오늘의명언;운세,fortune-12
13,,,"지금의 작은 변화이 가능성을 키운다, 천천히 빛을 보기 시작한다.",original_fortune_text,,오늘의운세,오늘의명언;운세,fortune-13
14,,,"한 걸음의 한 번의 선택이 가능성을 키운다, 곧 좋은 흐름으로 이어진다.",original_fortune_text,,성장,오늘의명언;운세,fortune-14
15,,,"이 순간의 꾸준한 행동이 미래를 바꾼다, 생각보다 큰 결과로 이어진다.",original_fortune_text,,성장,오늘의명언;운세,fortune-15
16,,,"지금의 한 번의 선택이 길을 연다, 곧 좋은 흐름으로 이어진다.",original_fortune_text,,동기부여,오늘의명언;운세,fortune-16
17,,,"조용한 노력의 조용한 결심이 가능성을 키운다, 천천히 빛을 보기 시작한다.",original_fortune_text,,도전,오늘의명언;운세,fortune-17
18,,,"당신의 선택의 조용한 결심이 변화를 만든다, 조금씩 앞으로 나아간다.",original_fortune_text,,도전,오늘의명언;운세,fortune-18
19,,,"당신의 선택의 조용한 결심이 기회를 부른다, 천천히 빛을 보기 시작한다.",original_fortune_text,,도전,오늘의명언;운세,fortune-19
20,,,"오늘의 한 번의 선택이 가능성을 키운다, 조금씩 앞으로 나아간다.",original_fortune_text,,오늘의운세,오늘의명언;운세,fortune-20
21,,,"조용한 노력의 조용한 결심이 기회를 부른다, 생각보다 큰 결과로 이어진다.",original_fortune_text,,오늘의운세,오늘의명언;운세,fortune-21
22,,,"지금의 조용한 결심이 미래를 바꾼다, 천천히 빛을 보기 시작한다.",original_fortune_text,,성장,오늘의명언;운세,fortune-22
23,,,"당신의 하루의 한 번의 선택이 미래를 바꾼다, 조금씩 앞으로 나아간다.",original_fortune_text,,도전,오늘의명언;운세,fortune-23
24,,,"이 순간의 꾸준한 행동이 길을 연다, 생각보다 큰 결과로 이어진다.",original_fortune_text,,인생,오늘의명언;운세,fortune-24
25,,,"이 순간의 조용한 결심이 변화를 만든다, 조금씩 앞으로 나아간다.",original_fortune_text,,인생,오늘의명언;운세,fortune-25
